,annual_return,annual_vol,sharpe_ratio,max_drawdown,positive_weeks
RECLTD.NS,0.36833329390424197,0.3526165566207696,0.8658707048092961,-0.4560516061771024,0.5478927203065134
ASHOKLEY.NS,0.24437456241436994,0.29230385550914817,0.620455774019391,-0.29682615751030905,0.5287356321839081
GRANULES.NS,0.19545628486562486,0.33843871276661774,0.39133625195344185,-0.38602732207220114,0.5019157088122606
WIPRO.NS,0.03675273459642255,0.2611313499893516,-0.10056323340815818,-0.48800535075916207,0.5440613026819924
CHALET.NS,0.36997697673140506,0.3439289199768789,0.8925217142438964,-0.3115477423083911,0.5478927203065134
BHARTIARTL.NS,0.2761934734909743,0.20783542066743801,1.0257179710310298,-0.1724696020813642,0.5708812260536399
FORTIS.NS,0.31430587820725114,0.28943496704082744,0.868218976030684,-0.2729744840535039,0.5363984674329502
IOC.NS,0.2538521183200517,0.2826461994644885,0.67518746470334,-0.36953502086633083,0.5287356321839081
MANAPPURAM.NS,0.19072550558541454,0.3792496545916739,0.3367506246705206,-0.5976927523803324,0.5593869731800766
INDIANB.NS,0.4936391953113009,0.3715796211985277,1.158907063920054,-0.2463014407650449,0.5517241379310345
BDL.NS,0.5013053100421336,0.46710596448970615,0.9383146349359093,-0.45948423767013047,0.4942528735632184
BANKBARODA.NS,0.3176787784464126,0.33283018699643013,0.7651524438002822,-0.2923271988425029,0.5478927203065134
NESTLEIND.NS,0.09391475297355709,0.1817426005041376,0.1700306113825217,-0.21204059132238928,0.5172413793103449
SUPREMEIND.NS,0.17461187983979018,0.31140900695796675,0.3583677088674072,-0.47417961805182995,0.5019157088122606
LICHSGFIN.NS,0.10116307483579835,0.30757689238711455,0.12403443914178588,-0.41191479158949285,0.5402298850574713
CENTRALBK.NS,0.2199843111019066,0.4134839035919592,0.37963113495518896,-0.5046066431914521,0.4942528735632184
TRIDENT.NS,0.20887618558512244,0.428050918841276,0.34076141802097215,-0.6295419826260752,0.44061302681992337
RADICO.NS,0.3530499920174785,0.29889965767254856,0.9703492027402439,-0.38988491738203834,0.5478927203065134
COLPAL.NS,0.0788250614915236,0.2207421782750584,0.0716315935608444,-0.4994435093525287,0.5095785440613027
CYIENT.NS,0.12039257228495381,0.34284875331123976,0.1673613342186347,-0.6578974900240273,0.4904214559386973
CLEAN.NS,-0.1136040795995738,0.31558061126475045,-0.5596574085693542,-0.7338956779326931,0.40229885057471265
USHAMART.NS,0.5772953203057193,0.42941602965116593,1.1976319869286316,-0.3339628091976684,0.5517241379310345
ZENSARTECH.NS,0.21500482351575972,0.3649770248709673,0.41644231187950864,-0.6208573675672604,0.5057471264367817
YESBANK.NS,0.10233330022065908,0.4011775114264407,0.09801235514239343,-0.48439488118645224,0.42911877394636017
RAMCOCEM.NS,0.01964174032710051,0.2767029082018128,-0.15674286710733062,-0.4823268073048599,0.4827586206896552
VIJAYA.NS,0.13924210403977713,0.3675635483000471,0.2073904142473917,-0.49704944674612606,0.4329501915708812
MFSL.NS,0.1375419769343654,0.26947333599031953,0.276572927576974,-0.44777645673640076,0.49808429118773945
POWERGRID.NS,0.25261426079702715,0.24688908239648544,0.7679615131662744,-0.2754589628700753,0.5287356321839081
BAJAJFINSV.NS,0.13956614213187063,0.2708946715451026,0.28259394767584317,-0.39315791126384425,0.524904214559387
TECHNOE.NS,0.3391324557555053,0.4305044128883827,0.641386011370587,-0.4808093936988851,0.5095785440613027
VBL.NS,0.35979058766976174,0.3383661144492192,0.8770903098770899,-0.4173822088811433,0.5632183908045977
HONAUT.NS,-0.0739263077578279,0.2508144650761302,-0.5459782999830237,-0.5337263163656792,0.4329501915708812
ASTERDM.NS,0.44002480094665086,0.3806631718465574,0.9904080072212303,-0.310699068635498,0.5287356321839081
ADANIPOWER.NS,0.5827958291560786,0.5531972436401692,0.9395977431850431,-0.6440101937008738,0.524904214559387
IDBI.NS,0.22789719595914548,0.459181912659765,0.35908262916646894,-0.5071999749766847,0.4904214559386973
CARBORUNIV.NS,0.1605355818934867,0.3271292042329072,0.29811656414651394,-0.5708526823288945,0.5172413793103449
DABUR.NS,-0.01816800617516271,0.21076258800277015,-0.3851772482015872,-0.36206944014282516,0.4674329501915709
IRCTC.NS,0.13706389178408887,0.3289816680143566,0.2250914001848521,-0.5267721147716143,0.5095785440613027
BSOFT.NS,0.15249003187763263,0.37970978120873305,0.23564598230050957,-0.592111858428874,0.4904214559386973
HDFCLIFE.NS,-0.009480452831089323,0.233055263357063,-0.3110566965209949,-0.36801143772217115,0.4674329501915709
TIMKEN.NS,0.248411064786178,0.34979606907914534,0.5300177265532403,-0.4593703054365945,0.5019157088122606
PFC.NS,0.42261319378156514,0.3585379321950755,1.0029629057221272,-0.35194713449230064,0.5747126436781609
